name,start_date,start_time,distance,moving_time,total_elevation_gain,type,kudos_count,comment_count,max_speed,average_speed,average_heartrate,max_heartrate,week
Afternoon Run,2024-02-20,15:54:21,6.3158,36.333333333333336,28.3,Run,9,1,3.847337642351493,5.7530778966747205,151.2,172.0,8
Morning Run,2024-02-16,09:01:38,20.2078,107.95,99.7,Run,13,4,2.807726864330638,5.3418803418803416,,,7
Morning Run,2024-02-14,07:36:54,6.5122,33.516666666666666,79.8,Run,4,0,1.2096579087434072,5.147210212065061,,,7
Evening Run,2024-02-13,18:15:48,5.0699,36.233333333333334,53.2,Run,5,0,4.522840343735865,7.146941109205261,143.3,158.0,7
Morning Run,2024-02-11,10:36:21,14.0245,77.83333333333333,46.4,Run,7,0,2.862704683384862,5.55000555000555,164.8,180.0,6
Afternoon Run,2024-02-10,16:57:00,6.419899999999999,34.18333333333333,24.5,Run,5,0,1.7955900308841486,5.324813631522897,,,6
Morning Run,2024-02-09,10:46:22,6.0243,31.066666666666666,69.0,Run,5,0,3.406922867266285,5.156765676567657,165.9,191.0,6
Afternoon Run,2024-02-07,17:12:57,5.353899999999999,30.916666666666668,26.8,Run,10,0,3.504345388281469,5.775005775005775,161.2,177.0,6
Afternoon Run,2024-02-05,13:22:08,19.040200000000002,111.6,212.1,Run,12,1,3.166160081053698,5.860290670417252,163.1,185.0,6
Morning Run,2024-02-01,07:07:11,7.0258,41.5,77.6,Run,11,0,3.303600925008259,5.905976848570753,162.3,188.0,5
Morning Run,2024-01-31,07:27:58,3.3207,19.016666666666666,31.5,Run,5,0,4.1213320145070895,5.727376861397479,154.7,177.0,5
Afternoon Run,2024-01-30,17:52:00,5.6727,37.71666666666667,56.0,Run,10,0,3.9550704002531236,6.648052120728626,148.5,175.0,5
Morning Run,2024-01-28,10:40:01,13.0123,76.3,133.0,Run,9,0,3.791325447376403,5.864414731409806,160.0,181.0,4
Morning Run,2024-01-25,09:07:07,8.0876,45.9,65.9,Run,11,0,2.6362965306337656,5.674724775848372,162.5,181.0,4
Morning Run,2024-01-23,09:03:27,6.1145,33.78333333333333,59.9,Run,9,1,2.7917364600781687,5.524251463926638,164.6,184.0,4
Afternoon Run,2024-01-10,16:25:35,0.7988,5.116666666666666,3.0,Run,5,3,4.010266281681104,6.4053292339226235,128.1,133.0,2
Morning Run,2024-01-09,07:48:04,6.2625,33.63333333333333,58.8,Run,6,0,1.9695895375403767,5.371146202599634,166.8,192.0,2
Morning Run,2024-01-07,09:41:32,10.06,52.96666666666667,33.8,Run,9,0,3.528083545018346,5.264266161297115,171.2,182.0,1
Afternoon Run,2024-01-04,15:49:09,6.760800000000001,38.43333333333333,36.1,Run,12,0,4.14181577203446,5.684402000909504,159.6,176.0,1
Run and plunge w elissa!,2024-01-01,11:03:22,6.4226,43.46666666666667,57.8,Run,12,0,3.408316291751875,6.766815536608472,150.5,189.0,1
Morning Run,2023-12-31,10:04:27,4.2431,23.0,50.5,Run,8,0,3.24380433372259,5.420054200542006,172.1,185.0,52
Morning Run,2023-12-26,07:40:41,8.1424,45.71666666666667,28.1,Run,7,0,4.101049868766404,5.615453728661276,155.8,171.0,52
Morning Run,2023-12-25,08:53:57,4.5675,24.133333333333333,26.6,Run,7,0,4.2408821034775235,5.28429507503699,163.9,179.0,52
Claire run!!!,2023-12-20,13:02:22,5.2481,28.5,33.0,Run,8,0,3.3121356650768417,5.430650591940914,165.0,180.0,51
Afternoon Run,2023-12-11,15:43:09,6.2029,31.816666666666666,43.2,Run,9,1,3.8544557508479804,5.129783523135324,153.4,181.0,50
Lunch Run,2023-12-08,12:39:38,4.0755,20.966666666666665,52.9,Run,8,0,3.454947484798231,5.1440329218107,153.4,177.0,49
Afternoon Run,2023-12-06,16:05:32,5.6535,29.95,54.2,Run,8,0,3.590406434008329,5.297732570459844,156.0,185.0,49
Morning Run,2023-12-05,10:29:02,6.5229,34.666666666666664,59.5,Run,8,0,2.163940102137973,5.314625850340136,159.6,188.0,49
Afternoon Run,2023-12-02,16:08:34,10.039200000000001,55.86666666666667,80.5,Run,9,0,3.890445066915655,5.564830272676683,164.8,186.0,48
Morning Run,2023-11-30,08:27:13,5.2039,28.033333333333335,51.0,Run,8,0,3.443526170798898,5.386770092652445,161.1,186.0,48
Lunch Run,2023-11-28,11:12:01,5.5388,30.05,51.4,Run,7,0,4.016064257028112,5.425347222222222,156.9,185.0,48
